tweet;created_at;source
@berieux Ah pronto, lá vem o povo inclusivo ignorar a biografia do Batman nos quadrinhos! Impossível Bruce Wayne ser bi, mundo sabe desde os anos 40 que ele é gay!;2022-05-21 01:24:55+00:00;Twitter Web App
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:24:29+00:00;Twitter for Android
"Melhores filmes do ano: 

✅ Homem-Aranha: Sem Volta para Casa
✅ O Homem do Norte 
✅ The Batman
✅ Top Gun: Maverick";2022-05-21 01:24:26+00:00;Twitter Web App
RT @JniorAb68912176: Ei @WagnerThomazoni já que incomoda tanto um personagem negro tendo moral e sendo uma pessoa boa, eu gostaria de te di…;2022-05-21 01:24:05+00:00;Twitter Web App
RT @JniorAb68912176: Ei @WagnerThomazoni já que incomoda tanto um personagem negro tendo moral e sendo uma pessoa boa, eu gostaria de te di…;2022-05-21 01:23:26+00:00;Twitter Web App
@mr_freak97 @JniorAb68912176 @BatDarker @WagnerThomazoni Exatamente o  que eu disse. Teve argumentos ali aceitáveis. Mas como um todo ( proposta ) eu discordo dele. Tô vendo aqui se vale a pena fazer um post sobre. Doutor Estranho No Multiverso da Loucura tem lacração/militância. The Batman, eu vi elementos, Mas não chega a ser.;2022-05-21 01:23:24+00:00;Twitter for Android
"@Debatehqsmangas Tu pode fazer uns de personagens da DC/Marvel vs sua contraparte na outra editora
Tipo: superman vs sentinela ou gladiador
Batman vs Homem de ferro
Flash vs mercúrio por aí vai";2022-05-21 01:23:17+00:00;Twitter for Android
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:23:08+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:22:58+00:00;Twitter Web App
@batman_Kulczyk_ eita mlk KAKKAKAKAKKA q isso;2022-05-21 01:22:41+00:00;Twitter for Android
EU SABIA. O que existe entre o Batman e o Coringa é puramente tensão. https://t.co/0umnepYzTE;2022-05-21 01:21:37+00:00;Twitter Web App
"RT @chrisgonzatti: Asa Noturna e Batman em artes oficiais da DC para comemorar a chegada do verão nos EUA

Hipersexualização de super-herói…";2022-05-21 01:21:28+00:00;Twitter for Android
RT @JniorAb68912176: Ei @WagnerThomazoni já que incomoda tanto um personagem negro tendo moral e sendo uma pessoa boa, eu gostaria de te di…;2022-05-21 01:21:21+00:00;Twitter for Android
@Pesgrau Eu sou o batman https://t.co/BE7noMmZuc;2022-05-21 01:21:20+00:00;Twitter for Android
vi o filme do batman ate a metade, estranhamente estou com preguiça de continuar.;2022-05-21 01:20:23+00:00;Twitter Web App
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:20:22+00:00;Twitter for iPhone
Assistindl Batman e achando tudo meio emo e dramático;2022-05-21 01:20:12+00:00;Twitter for Android
"RT @chrisgonzatti: Asa Noturna e Batman em artes oficiais da DC para comemorar a chegada do verão nos EUA

Hipersexualização de super-herói…";2022-05-21 01:20:08+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:19:55+00:00;Twitter for Android
e ainda tem o meu batman com a batsuit pra chegar que a minha amiga comprou de presente pra mim pela ajuda que dei num caso jurídico pra ela!! minha coleção tá ficando TUDO;2022-05-21 01:19:21+00:00;Twitter for iPhone
@acscox05 christian bale musculoso forcando a voz vestido de preto em batman eh mais engracado;2022-05-21 01:19:20+00:00;Twitter for iPhone
Acabei de descobrir q o batman é o homem de ferro da dc;2022-05-21 01:18:48+00:00;Twitter for iPhone
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:18:39+00:00;Twitter for Android
eu tocando violao pro coringa e pro batman;2022-05-21 01:18:36+00:00;Twitter for Android
RT @JniorAb68912176: Ei @WagnerThomazoni já que incomoda tanto um personagem negro tendo moral e sendo uma pessoa boa, eu gostaria de te di…;2022-05-21 01:18:19+00:00;Twitter for Android
https://t.co/HOx5ywy6Og meu bff ta jogando o smash da warner bros tem o finn tem o jake tem o batman. prestigiem!;2022-05-21 01:18:16+00:00;Twitter Web App
só consegui assistir Batman agora, e simplesmente tá sensacional.. e MEUDEUS o ROBERT PATTINSON tá perfeito nesse papel do Batman;2022-05-21 01:18:02+00:00;Twitter for iPhone
